TransactionID,AccountID,TransactionAmount,TransactionDate,Location,Channel
TX000001,AC00128,14.09,2023-04-11 16:29:14,San Diego,ATM
TX000002,AC00455,376.24,2023-06-27 16:44:19,Houston,ATM
TX000003,AC00019,126.29,2023-07-10 18:16:08,Mesa,Online
TX000004,AC00070,184.5,2023-05-05 16:32:11,Raleigh,Online
TX000005,AC00411,13.45,2023-10-16 17:51:24,Atlanta,Online
TX000006,AC00393,92.15,2023-04-03 17:15:01,Oklahoma City,ATM
TX000007,AC00199,7.08,2023-02-15 16:36:48,Seattle,ATM
TX000008,AC00069,171.42,2023-05-08 17:47:59,Indianapolis,Branch
TX000009,AC00135,106.23,2023-03-21 16:59:46,Detroit,Branch
TX000010,AC00385,815.96,2023-03-31 16:06:57,Nashville,ATM
TX000011,AC00150,17.78,2023-03-14 16:46:10,Albuquerque,Online
TX000012,AC00459,190.02,2023-02-06 17:30:00,Memphis,Online
TX000013,AC00392,494.52,2023-06-07 17:21:28,Mesa,Branch
TX000014,AC00264,781.76,2023-11-20 16:39:15,Memphis,ATM
TX000015,AC00085,166.99,2023-02-13 16:53:57,Louisville,Online
TX000016,AC00270,465.45,2023-12-12 16:23:31,Denver,ATM
TX000017,AC00317,555.8,2023-10-30 16:52:49,Austin,Branch
TX000018,AC00359,492.93,2023-12-14 18:32:14,Columbus,Online
TX000019,AC00242,18.68,2023-02-21 16:56:50,Albuquerque,Branch
TX000020,AC00285,71.48,2023-06-08 18:18:50,Columbus,Online
TX000021,AC00002,59.32,2023-02-28 16:36:58,Los Angeles,Branch
TX000022,AC00014,85.77,2023-08-11 18:31:31,Las Vegas,Branch
TX000023,AC00095,52.2,2023-06-06 18:54:15,Atlanta,Online
TX000024,AC00453,345.84,2023-05-02 18:25:46,Fort Worth,Online
TX000025,AC00241,145.54,2023-03-02 16:43:56,Raleigh,Online
TX000026,AC00041,7.49,2023-10-20 17:53:13,Houston,Online
TX000027,AC00441,246.93,2023-04-17 16:37:01,Miami,ATM
TX000028,AC00057,40.32,2023-03-29 16:42:38,Milwaukee,Branch
TX000029,AC00390,127.45,2023-01-24 16:18:32,Las Vegas,Online
TX000030,AC00313,56.17,2023-09-20 16:55:42,Detroit,Branch
TX000031,AC00367,28.31,2023-07-17 17:49:22,Miami,Online
TX000032,AC00291,59.12,2023-02-06 16:24:24,Baltimore,ATM
TX000033,AC00060,396.45,2023-09-25 16:26:00,New York,ATM
TX000034,AC00359,877.81,2023-03-13 17:23:24,Los Angeles,Online
TX000035,AC00365,255.26,2023-10-27 16:42:49,San Francisco,Branch
TX000036,AC00267,124.76,2023-10-16 16:32:56,Seattle,Branch
TX000037,AC00404,78.13,2023-11-21 16:58:44,Milwaukee,Branch
TX000038,AC00202,649.28,2023-03-02 17:53:32,San Jose,ATM
