"",Name,Wiki,Rocket Height
0,Tsyklon-3,https://en.wikipedia.org/wiki/Tsyklon-3,39.0 m
1,Tsyklon-4M,https://en.wikipedia.org/wiki/Cyclone-4M,38.7 m
2,Unha-2,https://en.wikipedia.org/wiki/Unha,28.0 m
3,Unha-3,https://en.wikipedia.org/wiki/Unha,32.0 m
4,Vanguard,https://en.wikipedia.org/wiki/Vanguard_(rocket),23.0 m
5,Vector-H,https://en.wikipedia.org/wiki/Vector-H,18.3 m
6,Vector-R,https://en.wikipedia.org/wiki/Vector-R,13.0 m
7,Vega,https://en.wikipedia.org/wiki/Vega_(rocket),29.9 m
8,Vega C,https://en.wikipedia.org/wiki/Vega_(rocket),35.0 m
9,Vega E,https://en.wikipedia.org/wiki/Vega_(rocket),35.0 m
10,VLS-1,https://en.wikipedia.org/wiki/VLS-1,19.0 m
11,Volna,https://en.wikipedia.org/wiki/Volna,15.0 m
12,Voskhod,https://en.wikipedia.org/wiki/Voskhod_(rocket),31.0 m
13,Vostok,https://en.wikipedia.org/wiki/Vostok-K,31.0 m
14,Vostok-2,https://en.wikipedia.org/wiki/Vostok-2_(rocket),
15,Vostok-2A,https://en.wikipedia.org/wiki/Vostok_(rocket_family),
16,Vostok-2M,https://en.wikipedia.org/wiki/Vostok-2M,
17,Vulcan Centaur,https://en.wikipedia.org/wiki/Vulcan_%28rocket%29,58.3 m
18,Zenit-2,https://en.wikipedia.org/wiki/Zenit-2,57.0 m
19,Zenit-2 FG,https://en.wikipedia.org/wiki/Zenit_%28rocket_family%29,57.0 m
20,Zenit-3 SL,https://en.wikipedia.org/wiki/Zenit_%28rocket_family%29,59.6 m
21,Zenit-3 SLB,https://en.wikipedia.org/wiki/Zenit_%28rocket_family%29,57.0 m
22,Zenit-3 SLBF,https://en.wikipedia.org/wiki/Zenit-3F,57.0 m
23,Zéphyr,https://fr.wikipedia.org/wiki/Z%C3%A9phyr_(fus%C3%A9e),12.3 m
24,ZhuQue-1,https://en.wikipedia.org/wiki/LandSpace,19.0 m
25,ZhuQue-2,https://en.wikipedia.org/wiki/LandSpace#Zhuque-2,
26,Angara 1.1,https://en.wikipedia.org/wiki/Angara_(rocket_family),35.0 m
27,Angara 1.2,https://en.wikipedia.org/wiki/Angara_(rocket_family),41.5 m
